Time,Susceptible,Exposed,Infected,Resistant,Death,Heal,est_beta
0,58432197,0,244,67559,1351.18,66207.82,1.08E-05
1,58432197,0.001588585,226.5714286,67576.42857,1351.528571,66224.9,1.08E-05
2,58432197,0.00249448,210.387982,67592.61224,1351.852245,66240.76,1.08E-05
3,58432197,0.002945962,195.3606254,67607.63996,1352.152799,66255.48716,1.08E-05
4,58432197,0.003101187,181.4067159,67621.59429,1352.431886,66269.1624,1.08E-05
5,58432197,0.003068968,168.4495363,67634.55191,1352.691038,66281.86087,1.08E-05
6,58432197,0.002923495,156.417865,67646.58402,1352.93168,66293.65234,1.08E-05
