,Time,Susceptible,Exposed,Infected,Resistant,Death,Heal,est
0,0.0,24808759.0,393.0,4589.0,57154.0,571.54,56582.46,8.695275836352879e-23
1,1.0,24808759.0,353.7,3972.7285714285717,57809.57142857143,578.0957142857143,57231.47571428571,5.246938538026886e-23
2,2.0,24808759.0,318.33,3440.565918367347,58377.10408163265,583.7710408163265,57793.333040816324,3.1661288888310837e-23
3,3.0,24808759.0,286.49699999999996,2980.889501457726,58868.61349854227,588.6861349854227,58279.927363556846,1.910518308541198e-23
4,4.0,24808759.0,257.84729999999996,2583.697844106622,59294.454855893375,592.9445485589338,58701.51030733444,1.1528526902828278e-23
5,5.0,24808759.0,232.06256999999997,2240.3828820913905,59663.55454790861,596.6355454790861,59066.91900242952,6.956590363728007e-24
6,6.0,24808759.0,208.85631299999997,1943.534441649763,59983.609245350235,599.8360924535024,59383.773152896734,4.197773913060904e-24
7,7.0,24808759.0,187.97068169999997,1686.7722955712254,60261.25702272877,602.6125702272877,59658.64445250148,
