Time,Estimated_Susceptible,Estimated_Exposed,Estimated_Infected,Estimated_Resistant,est_beta,err
76,126010966,9.428571429,116.7142857,1417.857143,1.19E-23,7.285714286
77,126010963,9.428571429,110.2142857,1427.357143,5.36E-24,6.785714286
78,126010960,9.428571429,101.8571429,1438.714286,2.41E-24,6.142857143
79,126010955,9.428571429,96.28571429,1449.285714,1.08E-24,5.714285714
80,126010951,9.428571429,97.21428571,1452.357143,4.87E-25,5.785714286
81,126010947,9.428571429,95.35714286,1458.214286,2.19E-25,5.642857143
82,126010944,9.428571429,87.92857143,1468.642857,9.82E-26,5.071428571
83,126010935,9.428571429,92.57142857,1473,4.41E-26,5.428571429
84,126010933,9.428571429,90.71428571,1476.857143,1.98E-26,5.285714286
85,126010928,9.428571429,87,1485.571429,8.91E-27,5
86,126010922,9.428571429,88.85714286,1489.714286,4.00E-27,5.142857143
87,126010920,9.428571429,84.21428571,1496.357143,1.80E-27,4.785714286
88,126010919,9.428571429,77.71428571,1503.857143,8.09E-28,4.285714286
89,126010918,9.428571429,74.92857143,1507.642857,3.63E-28,4.071428571
90,126010917,9.428571429,69.35714286,1514.214286,1.63E-28,3.642857143
91,126010917,9.428571429,60.07142857,1523.5,7.34E-29,2.928571429
92,126010915,9.428571429,55.42857143,1530.142857,3.30E-29,2.571428571
93,126010914,9.428571429,47.07142857,1539.5,1.48E-29,1.928571429
94,126010914,9.428571429,41.5,1545.071429,6.65E-30,1.5
95,126010913,9.428571429,35,1552.571429,2.99E-30,1
96,126010912,9.428571429,35.92857143,1552.642857,1.34E-30,1.071428571
97,126010912,9.428571429,31.28571429,1557.285714,6.04E-31,0.714285714
98,126010911,9.428571429,25.71428571,1563.857143,2.71E-31,0.285714286
99,126010911,9.428571429,22.92857143,1566.642857,1.22E-31,0.071428571
100,126010911,9.428571429,15.5,1574.071429,5.48E-32,-0.5
101,126010911,9.428571429,13.64285714,1575.928571,2.46E-32,-0.642857143
102,126010911,9.428571429,13.64285714,1575.928571,1.11E-32,-0.642857143
103,126010911,9.428571429,11.78571429,1577.785714,4.97E-33,-0.785714286
104,126010911,9.428571429,9.928571429,1579.642857,2.23E-33,-0.928571429
105,126010911,9.428571429,1.571428571,1588,1.00E-33,-1.571428571
106,126010910,9.428571429,7.142857143,1583.428571,4.51E-34,-1.142857143
107,126010910,9.428571429,7.142857143,1583.428571,2.03E-34,-1.142857143
108,126010910,9.428571429,6.214285714,1584.357143,9.10E-35,-1.214285714
109,126010910,9.428571429,6.214285714,1584.357143,4.09E-35,-1.214285714
110,126010910,9.428571429,5.285714286,1585.285714,1.84E-35,-1.285714286
111,126010910,9.428571429,4.357142857,1586.214286,8.26E-36,-1.357142857
112,126010910,9.428571429,4.357142857,1586.214286,3.71E-36,-1.357142857
113,126010910,9.428571429,3.428571429,1587.142857,1.67E-36,-1.428571429
114,126010910,9.428571429,3.428571429,1587.142857,7.49E-37,-1.428571429
115,126010910,9.428571429,3.428571429,1587.142857,3.37E-37,-1.428571429
116,126010909,9.428571429,4.357142857,1587.214286,1.51E-37,-1.357142857
117,126010909,9.428571429,4.357142857,1587.214286,6.80E-38,-1.357142857
118,126010909,9.428571429,4.357142857,1587.214286,3.05E-38,-1.357142857
119,126010909,9.428571429,4.357142857,1587.214286,1.37E-38,-1.357142857
120,126010909,9.428571429,4.357142857,1587.214286,6.16E-39,-1.357142857
121,126010908,9.428571429,4.357142857,1588.214286,2.77E-39,-1.357142857
122,126010908,9.428571429,4.357142857,1588.214286,1.24E-39,-1.357142857
123,126010907,9.428571429,5.285714286,1588.285714,5.59E-40,-1.285714286
124,126010907,9.428571429,4.357142857,1589.214286,2.51E-40,-1.357142857
125,126010907,9.428571429,4.357142857,1589.214286,1.13E-40,-1.357142857
126,126010907,9.428571429,4.357142857,1589.214286,5.07E-41,-1.357142857
127,126010907,9.428571429,3.428571429,1590.142857,2.28E-41,-1.428571429
128,126010907,9.428571429,3.428571429,1590.142857,1.02E-41,-1.428571429
129,126010906,9.428571429,3.428571429,1591.142857,4.60E-42,-1.428571429
130,126010906,9.428571429,3.428571429,1591.142857,2.07E-42,-1.428571429
131,126010904,9.428571429,5.285714286,1591.285714,9.29E-43,-1.285714286
132,126010903,9.428571429,6.214285714,1591.357143,4.18E-43,-1.214285714
133,126010902,9.428571429,7.142857143,1591.428571,1.88E-43,-1.142857143
134,126010901,9.428571429,8.071428571,1591.5,8.43E-44,-1.071428571
135,126010901,9.428571429,7.142857143,1592.428571,3.79E-44,-1.142857143
136,126010898,9.428571429,9.928571429,1592.642857,1.70E-44,-0.928571429
137,126010897,9.428571429,10.85714286,1592.714286,7.65E-45,-0.857142857
138,126010897,9.428571429,9.928571429,1593.642857,3.44E-45,-0.928571429
139,126010895,9.428571429,10.85714286,1594.714286,1.54E-45,-0.857142857
140,126010895,9.428571429,9.928571429,1595.642857,6.94E-46,-0.928571429
141,126010892,9.428571429,11.78571429,1596.785714,3.12E-46,-0.785714286
142,126010892,9.428571429,10.85714286,1597.714286,1.40E-46,-0.857142857
143,126010891,9.428571429,10.85714286,1598.714286,6.29E-47,-0.857142857
144,126010874,9.428571429,26.64285714,1599.928571,2.83E-47,0.357142857
145,126010874,9.428571429,26.64285714,1599.928571,1.27E-47,0.357142857
146,126010871,9.428571429,27.57142857,1602,5.71E-48,0.428571429
147,126010871,9.428571429,26.64285714,1602.928571,2.57E-48,0.357142857
148,126010871,9.428571429,17.35714286,1612.214286,1.15E-48,-0.357142857
149,126010868,9.428571429,19.21428571,1613.357143,5.18E-49,-0.214285714
150,126010865,9.428571429,13.64285714,1621.928571,2.33E-49,-0.642857143
151,126010865,9.428571429,12.71428571,1622.857143,1.05E-49,-0.714285714
152,126010865,9.428571429,12.71428571,1622.857143,4.70E-50,-0.714285714
153,126010865,9.428571429,8.071428571,1627.5,2.11E-50,-1.071428571
