Time,Susceptible,Exposed,Infected,Resistant,Death,Heal,est_beta
0,24869954,300,101,540,10.8,529.2,1.46E-29
1,24869954,257.1428571,136.6428571,547.2142857,10.94428571,536.27,1.46E-29
2,24869954,220.4081633,163.6173469,556.9744898,11.1394898,545.835,1.46E-29
3,24869954,188.9212828,183.4172741,568.6614431,11.37322886,557.2882143,1.46E-29
4,24869954,161.9325281,197.3047949,581.762677,11.63525354,570.1274235,1.46E-29
5,24869954,138.7993098,206.3448135,595.8558766,11.91711753,583.9387591,1.46E-29
6,24869954,118.970837,211.4343711,610.5947919,12.21189584,598.3828961,1.46E-29
