Time,Estimated_Susceptible,Estimated_Exposed,Estimated_Infected,Estimated_Resistant,est_beta,err
74,24869918,257.142858,48.42857143,671.4285714,1.42E-07,-42.42857143
75,24869917,257.1428579,49.35714286,671.5,1.10E-07,-42.35714286
76,24869917,257.1428577,48.42857143,672.4285714,8.56E-08,-42.42857143
77,24869917,257.1428575,48.42857143,672.4285714,6.65E-08,-42.42857143
78,24869911,257.1428578,54,672.8571429,5.16E-08,-42
79,24869906,257.1428578,57.71428571,674.1428571,4.01E-08,-41.71428571
80,24869905,257.1428577,58.64285714,674.2142857,3.11E-08,-41.64285714
81,24869904,257.1428576,59.57142857,674.2857143,2.41E-08,-41.57142857
82,24869903,257.1428575,59.57142857,675.2857143,1.87E-08,-41.57142857
83,24869900,257.1428574,62.35714286,675.5,1.45E-08,-41.35714286
84,24869900,257.1428574,61.42857143,676.4285714,1.13E-08,-41.42857143
85,24869898,257.1428573,63.28571429,676.5714286,8.77E-09,-41.28571429
86,24869898,257.1428573,63.28571429,676.5714286,6.81E-09,-41.28571429
87,24869897,257.1428573,64.21428571,676.6428571,5.28E-09,-41.21428571
88,24869897,257.1428572,64.21428571,676.6428571,4.10E-09,-41.21428571
89,24869894,257.1428572,67,676.8571429,3.18E-09,-41
90,24869894,257.1428572,67,676.8571429,2.47E-09,-41
91,24869892,257.1428572,67.92857143,677.9285714,1.92E-09,-40.92857143
92,24869892,257.1428572,65.14285714,680.7142857,1.49E-09,-41.14285714
93,24869890,257.1428572,67,680.8571429,1.16E-09,-41
94,24869889,257.1428572,66.07142857,682.7857143,8.98E-10,-41.07142857
95,24869888,257.1428572,66.07142857,683.7857143,6.97E-10,-41.07142857
96,24869887,257.1428572,67,683.8571429,5.41E-10,-41
97,24869883,257.1428572,70.71428571,684.1428571,4.20E-10,-40.71428571
98,24869883,257.1428572,68.85714286,686,3.26E-10,-40.85714286
99,24869882,257.1428572,69.78571429,686.0714286,2.53E-10,-40.78571429
100,24869881,257.1428571,69.78571429,687.0714286,1.97E-10,-40.78571429
101,24869880,257.1428571,67.92857143,689.9285714,1.53E-10,-40.92857143
102,24869879,257.1428571,68.85714286,690,1.18E-10,-40.85714286
103,24869879,257.1428571,65.14285714,693.7142857,9.19E-11,-41.14285714
104,24869877,257.1428571,67,693.8571429,7.14E-11,-41
105,24869877,257.1428571,67,693.8571429,5.54E-11,-41
106,24869877,257.1428571,63.28571429,697.5714286,4.30E-11,-41.28571429
107,24869877,257.1428571,63.28571429,697.5714286,3.34E-11,-41.28571429
108,24869873,257.1428571,67,697.8571429,2.59E-11,-41
109,24869871,257.1428571,68.85714286,698,2.01E-11,-40.85714286
110,24869870,257.1428571,69.78571429,698.0714286,1.56E-11,-40.78571429
111,24869870,257.1428571,69.78571429,698.0714286,1.21E-11,-40.78571429
112,24869864,257.1428571,74.42857143,699.4285714,9.42E-12,-40.42857143
113,24869863,257.1428571,74.42857143,700.4285714,7.31E-12,-40.42857143
114,24869863,257.1428571,74.42857143,700.4285714,5.67E-12,-40.42857143
115,24869863,257.1428571,74.42857143,700.4285714,4.41E-12,-40.42857143
116,24869862,257.1428571,66.07142857,709.7857143,3.42E-12,-41.07142857
117,24869862,257.1428571,60.5,715.3571429,2.65E-12,-41.5
118,24869767,336.8571429,74.71428571,716.4285714,2.06E-12,-54.71428571
119,24869765,336.8571429,75.64285714,717.5,1.60E-12,-54.64285714
120,24869764,336.8571429,74.71428571,719.4285714,1.24E-12,-54.71428571
121,24869764,336.8571429,74.71428571,719.4285714,9.64E-13,-54.71428571
122,24869764,336.8571429,74.71428571,719.4285714,7.49E-13,-54.71428571
123,24869761,336.8571429,72.85714286,724.2857143,5.81E-13,-54.85714286
124,24869761,336.8571429,71.92857143,725.2142857,4.51E-13,-54.92857143
125,24869761,336.8571429,71.92857143,725.2142857,3.50E-13,-54.92857143
126,24869759,336.8571429,71.92857143,727.2142857,2.72E-13,-54.92857143
127,24869759,336.8571429,71.92857143,727.2142857,2.11E-13,-54.92857143
128,24869758,336.8571429,70.07142857,730.0714286,1.64E-13,-55.07142857
129,24869754,336.8571429,71.92857143,732.2142857,1.27E-13,-54.92857143
130,24869753,336.8571429,71.92857143,733.2142857,9.87E-14,-54.92857143
131,24869753,336.8571429,71.92857143,733.2142857,7.67E-14,-54.92857143
132,24869752,336.8571429,71,735.1428571,5.95E-14,-55
133,24869750,336.8571429,72.85714286,735.2857143,4.62E-14,-54.85714286
134,24869745,336.8571429,77.5,735.6428571,3.59E-14,-54.5
135,24869738,336.8571429,82.14285714,738,2.78E-14,-54.14285714
136,24869736,336.8571429,84,738.1428571,2.16E-14,-54
137,24869734,336.8571429,84.92857143,739.2142857,1.68E-14,-53.92857143
138,24869716,336.8571429,100.7142857,741.4285714,1.30E-14,-52.71428571
139,24869708,336.8571429,105.3571429,744.7857143,1.01E-14,-52.35714286
140,24869704,336.8571429,106.2857143,747.8571429,7.85E-15,-52.28571429
141,24869702,336.8571429,108.1428571,748,6.09E-15,-52.14285714
142,24869686,336.8571429,121.1428571,751,4.73E-15,-51.14285714
143,24869682,336.8571429,123.9285714,752.2142857,3.67E-15,-50.92857143
144,24869682,336.8571429,119.2857143,756.8571429,2.85E-15,-51.28571429
145,24869674,336.8571429,123,761.1428571,2.21E-15,-51
146,24869660,336.8571429,133.2142857,764.9285714,1.72E-15,-50.21428571
147,24869652,336.8571429,138.7857143,767.3571429,1.33E-15,-49.78571429
148,24869651,336.8571429,125.7857143,781.3571429,1.04E-15,-50.78571429
149,24869640,336.8571429,128.5714286,789.5714286,8.04E-16,-50.57142857
150,24869627,336.8571429,135.0714286,796.0714286,6.24E-16,-50.07142857
151,24869627,336.8571429,132.2857143,798.8571429,4.84E-16,-50.28571429
152,24869622,336.8571429,127.6428571,808.5,3.76E-16,-50.64285714
153,24869620,336.8571429,126.7142857,811.4285714,2.92E-16,-50.71428571
154,24869616,336.8571429,124.8571429,817.2857143,2.27E-16,-50.85714286
155,24869614,336.8571429,124.8571429,819.2857143,1.76E-16,-50.85714286
156,24869611,336.8571429,116.5,830.6428571,1.37E-16,-51.5
157,24869608,336.8571429,112.7857143,837.3571429,1.06E-16,-51.78571429
158,24869605,336.8571429,112.7857143,840.3571429,8.23E-17,-51.78571429
159,24869599,336.8571429,107.2142857,851.9285714,6.39E-17,-52.21428571
160,24869598,336.8571429,109.0714286,851.0714286,4.96E-17,-52.07142857
161,24869594,336.8571429,110.9285714,853.2142857,3.85E-17,-51.92857143
162,24869594,336.8571429,104.4285714,859.7142857,2.99E-17,-52.42857143
163,24869589,336.8571429,104.4285714,864.7142857,2.32E-17,-52.42857143
164,24869586,336.8571429,101.6428571,870.5,1.80E-17,-52.64285714
165,24869584,336.8571429,97.92857143,876.2142857,1.40E-17,-52.92857143
166,24869580,336.8571429,98.85714286,879.2857143,1.09E-17,-52.85714286
