Time,Estimated_Susceptible,Estimated_Exposed,Estimated_Infected,Estimated_Resistant,est_beta,err
0,24870886,3,6,0,0.000334924,0
1,24870856.99,18.86905923,18,1.142857143,0.000744775,-2
2,24870878.97,0.026472011,14.85714286,1.142857143,0.001654502,1.142857143
3,24870861.88,0.117351785,29.71428571,3.285714286,0.003667248,2.285714286
4,24870854.68,0.323538313,37.14285714,2.857142857,0.008088471,2.857142857
5,24870841.1,0.899981437,47.35714286,5.642857143,0.017646732,3.642857143
6,24870826.67,2.331148836,57.57142857,8.428571429,0.037599275,4.428571429
7,24870809.29,5.714658064,69.64285714,10.35714286,0.076195686,5.357142857
8,24870781.57,12.43131342,82.64285714,18.35714286,0.139678246,6.357142857
9,24870740.91,26.08813801,113.2857143,14.71428571,0.213838297,8.714285714
10,24870706.25,35.75117836,132.7857143,20.21428571,0.250009778,10.21428571
11,24870682.48,35.52340986,154.1428571,22.85714286,0.213997968,11.85714286
12,24870676.55,25.45442717,169,24,0.139860575,13
13,24870671.96,15.03502753,182.9285714,25.07142857,0.076320575,14.07142857
14,24870653.71,8.286753483,204.2857143,28.71428571,0.037667414,15.71428571
15,24870636.77,4.22552084,221.9285714,32.07142857,0.017680184,17.07142857
16,24870458.03,144.2549801,249.3571429,43.35714286,0.008104116,-6.357142857
17,24870613.08,0.918591207,232.1428571,48.85714286,0.003674406,17.85714286
18,24870602.59,0.414431235,232.1428571,59.85714286,0.001657744,17.85714286
19,24870599.81,0.186557045,232.1428571,62.85714286,0.000746237,17.85714286
20,24870592.92,0.084901227,234.9285714,67.07142857,0.000335582,18.07142857
21,24870588.96,0.038011863,234,72,0.000150843,18
22,24870583.98,0.017150464,234.9285714,76.07142857,6.78E-05,18.07142857
23,24870576.99,0.007767701,236.7857143,81.21428571,3.05E-05,18.21428571
24,24870577,0.003107116,210.7857143,107.2142857,1.37E-05,16.21428571
25,24870569,0.001236228,186.6428571,139.3571429,6.15E-06,14.35714286
26,24870564,0.000525078,176.4285714,154.5714286,2.76E-06,13.57142857
27,24870562,0.00021234,158.7857143,174.2142857,1.24E-06,12.21428571
28,24870562,8.09E-05,134.6428571,198.3571429,5.58E-07,10.35714286
29,24870562,3.61E-05,133.7142857,199.2857143,2.51E-07,10.28571429
30,24870561,1.36E-05,112.3571429,221.6428571,1.13E-07,8.642857143
31,24870561,6.07E-06,111.4285714,222.5714286,5.06E-08,8.571428571
32,24870560,1.89E-06,77.07142857,257.9285714,2.27E-08,5.928571429
33,24870560,7.87E-07,71.5,263.5,1.02E-08,5.5
34,24870560,2.94E-07,59.42857143,275.5714286,4.59E-09,4.571428571
35,24870559,1.26E-07,56.64285714,279.3571429,2.06E-09,4.357142857
36,24870558,5.75E-08,57.57142857,279.4285714,9.27E-10,4.428571429
37,24870558,2.29E-08,51.07142857,285.9285714,4.17E-10,3.928571429
38,24870558,1.03E-08,51.07142857,285.9285714,1.87E-10,3.928571429
39,24870558,3.70E-09,40.85714286,296.1428571,8.41E-11,3.142857143
40,24870558,1.59E-09,39,298,3.78E-11,3
41,24870557,7.30E-10,39.92857143,298.0714286,1.70E-11,3.071428571
42,24870557,2.82E-10,34.35714286,303.6428571,7.63E-12,2.642857143
43,24870556,1.13E-10,30.64285714,308.3571429,3.43E-12,2.357142857
44,24870556,4.62E-11,27.85714286,311.1428571,1.54E-12,2.142857143
45,24870553,1.80E-11,24.14285714,317.8571429,6.92E-13,1.857142857
46,24870553,7.78E-12,23.21428571,318.7857143,3.11E-13,1.785714286
47,24870553,3.35E-12,22.28571429,319.7142857,1.40E-13,1.714285714
48,24870553,1.26E-12,18.57142857,323.4285714,6.28E-14,1.428571429
49,24870551,5.92E-13,19.5,324.5,2.82E-14,1.5
50,24870551,2.54E-13,18.57142857,325.4285714,1.27E-14,1.428571429
51,24870549,1.25E-13,20.42857143,325.5714286,5.70E-15,1.571428571
52,24870545,5.89E-14,21.35714286,328.6428571,2.56E-15,1.642857143
53,24870542,2.99E-14,24.14285714,328.8571429,1.15E-15,1.857142857
54,24870540,1.45E-14,26,329,5.17E-16,2
55,24870537,6.97E-15,27.85714286,330.1428571,2.32E-16,2.142857143
56,24870534,3.44E-15,30.64285714,330.3571429,1.04E-16,2.357142857
57,24870532,1.59E-15,31.57142857,331.4285714,4.69E-17,2.428571429
58,24870524,8.85E-16,39,332,2.11E-17,3
59,24870515,4.83E-16,47.35714286,332.6428571,9.46E-18,3.642857143
60,24870501,2.64E-16,57.57142857,336.4285714,4.25E-18,4.428571429
61,24870491,1.38E-16,66.85714286,337.1428571,1.91E-18,5.142857143
62,24870482,6.87E-17,74.28571429,338.7142857,8.59E-19,5.714285714
63,24870443,16.28571429,93.71428571,342,3.86E-19,4.285714286
64,24870425,16.28571429,110.4285714,343.2857143,1.73E-19,5.571428571
65,24870408,16.28571429,125.2857143,345.4285714,7.79E-20,6.714285714
66,24870391,16.28571429,138.2857143,349.4285714,3.50E-20,7.714285714
67,24870384,16.28571429,144.7857143,349.9285714,1.57E-20,8.214285714
68,24870378,16.28571429,150.3571429,350.3571429,7.07E-21,8.642857143
69,24870367,16.28571429,156.8571429,354.8571429,3.18E-21,9.142857143
70,24870360,16.28571429,159.6428571,359.0714286,1.43E-21,9.357142857
71,24870354,16.28571429,163.3571429,361.3571429,6.41E-22,9.642857143
72,24870350,16.28571429,167.0714286,361.6428571,2.88E-22,9.928571429
73,24870350,16.28571429,157.7857143,370.9285714,1.29E-22,9.214285714
74,24870345,16.28571429,159.6428571,374.0714286,5.82E-23,9.357142857
75,24870340,16.28571429,139.2142857,399.5,2.61E-23,7.785714286
76,24870338,16.28571429,135.5,405.2142857,1.17E-23,7.5
77,24870333,16.28571429,123.4285714,422.2857143,5.28E-24,6.571428571
78,24870324,16.28571429,121.5714286,433.1428571,2.37E-24,6.428571429
79,24870321,16.28571429,119.7142857,438,1.07E-24,6.285714286
80,24870321,16.28571429,104.8571429,452.8571429,4.79E-25,5.142857143
81,24870269,16.28571429,153.1428571,456.5714286,2.15E-25,8.857142857
