Time,Estimated_Susceptible,Estimated_Exposed,Estimated_Infected,Estimated_Resistant,est_beta,err
82,24870258,16.28571429,155.9285714,464.7857143,9.66E-26,9.071428571
83,24870258,16.28571429,144.7857143,475.9285714,4.34E-26,8.214285714
84,24870254,16.28571429,139.2142857,485.5,1.95E-26,7.785714286
85,24870248,16.28571429,129,501.7142857,8.77E-27,7
86,24870248,16.28571429,103.9285714,526.7857143,3.94E-27,5.071428571
87,24870248,16.28571429,103.9285714,526.7857143,1.77E-27,5.071428571
88,24870241,16.28571429,106.7142857,531,7.95E-28,5.285714286
89,24870238,16.28571429,104.8571429,535.8571429,3.57E-28,5.142857143
90,24870238,16.28571429,104.8571429,535.8571429,1.61E-28,5.142857143
91,24869956,257.1428571,137.5714286,544.2857143,7.21E-29,-35.57142857
92,24869955,257.1428571,136.6428571,546.2142857,3.24E-29,-35.64285714
93,24869954,257.1428571,136.6428571,547.2142857,1.46E-29,-35.64285714
