,Time,Estimated_Susceptible,Estimated_Exposed,Estimated_Infected,Estimated_Resistant,est_beta,err,est_beta
0,0.0,21842252.0,164.0,142.0,442.0,0.049832089307830674,0.0,0.049832089307830674
1,1.0,21842239.717380855,151.85404771670088,152.5,455.92857142857144,0.08117270533361778,-13.5,0.08117270533361778
2,2.0,21842232.865434907,157.70599366378767,150.64285714285714,458.7857142857143,0.12507411272999064,-13.642857142857139,0.12507411272999064
3,3.0,21842224.927462146,164.6439664254993,149.7142857142857,460.7142857142857,0.17701004071973023,-13.714285714285694,0.17701004071973023
4,4.0,21842219.87446982,169.6969587503462,145.07142857142856,465.35714285714283,0.2223399358724558,-14.071428571428555,0.2223399358724558
5,5.0,21842217.9159939,170.6554346714798,139.5,471.92857142857144,0.24068033482393167,-14.5,0.24068033482393167
6,6.0,21842222.261079486,166.31034908458736,131.14285714285714,480.2857142857143,0.22189488509044306,-15.142857142857139,0.22189488509044306
7,7.0,21842228.42552251,160.1459060628059,126.49999999999999,484.92857142857144,0.176352715450522,-15.499999999999986,0.176352715450522
8,8.0,21842233.68437017,153.88705839855658,122.78571428571428,489.64285714285717,0.12444942875211888,-15.785714285714278,0.12444942875211888
9,9.0,21842238.769191265,148.80223730808484,118.14285714285714,494.2857142857143,0.08069698519085282,-16.14285714285714,0.08069698519085282
10,10.0,21842242.197420985,145.37400758804242,113.5,498.92857142857144,0.04951283075262359,-16.5,0.04951283075262359
11,11.0,21842244.35759561,143.21383296032894,107.0,505.42857142857144,0.0293610609378291,-17.0,0.0293610609378291
12,12.0,21842244.515707985,142.05572058761558,104.21428571428572,509.2142857142857,0.01706141671646639,-17.214285714285722,0.01706141671646639
13,13.0,21842242.196609687,141.37481888452226,99.57142857142857,516.8571428571429,0.009797782398586087,-17.57142857142857,0.009797782398586087
14,14.0,21842242.575293437,140.9961351354986,94.0,522.4285714285714,0.00558843793928519,-18.0,0.00558843793928519
15,15.0,21842242.75869421,140.8127343606647,94.0,522.4285714285714,0.0031751862147199614,-18.0,0.0031751862147199614
16,16.0,21842242.864998978,140.7064295921124,93.07142857142857,523.3571428571429,0.0018000759932922967,-18.07142857142857,0.0018000759932922967
17,17.0,21842242.92763759,140.64379098308945,89.35714285714286,527.0714285714286,0.0010192242192861125,-18.35714285714286,0.0010192242192861125
18,18.0,21842242.960209873,140.61121869789315,87.5,528.9285714285714,0.000576688485440157,-18.5,0.000576688485440157
19,19.0,21842242.978147626,140.59328094725288,85.64285714285714,530.7857142857143,0.0003261661667979572,-18.64285714285714,0.0003261661667979572
20,20.0,21842242.988381136,140.58304743545435,81.92857142857143,534.5,0.0001844328048863658,-18.92857142857143,0.0001844328048863658
21,21.0,21842242.99363942,140.57778914956293,80.07142857142857,536.3571428571429,0.00010427538650492054,-19.07142857142857,0.00010427538650492054
22,22.0,21842242.996463038,140.57496553180775,79.14285714285714,537.2857142857143,5.895138269623867e-05,-19.14285714285714,5.895138269623867e-05
23,23.0,21842242.998000484,140.57342808613436,79.14285714285714,537.2857142857143,3.332640006971583e-05,-19.14285714285714,3.332640006971583e-05
24,24.0,21842242.9988885,140.5725400720763,78.21428571428572,538.2142857142857,1.8839646943686485e-05,-19.214285714285722,1.8839646943686485e-05
25,25.0,21842242.999510113,140.57191845651036,66.14285714285714,550.2857142857143,1.0650044783040194e-05,-20.14285714285714,1.0650044783040194e-05
26,26.0,21842242.99972307,140.57170550121856,66.14285714285714,550.2857142857143,6.0204214720278055e-06,-20.14285714285714,6.0204214720278055e-06
27,27.0,21842242.999857068,140.5715715051764,62.42857142857143,554.0,3.403302417635235e-06,-20.42857142857143,3.403302417635235e-06
28,28.0,21842242.99992882,140.57149975173198,57.785714285714285,558.6428571428571,1.9238586574916583e-06,-20.785714285714285,1.9238586574916583e-06
29,29.0,21842242.999959763,140.57146880901055,57.785714285714285,558.6428571428571,1.0875399052775367e-06,-20.785714285714285,1.0875399052775367e-06
30,30.0,21842242.999979712,140.57144885833387,54.07142857142858,562.3571428571429,6.14776011573229e-07,-21.071428571428577,6.14776011573229e-07
31,31.0,21842242.999989226,140.57143934438943,52.214285714285715,564.2142857142857,3.47526910238251e-07,-21.214285714285715,3.47526910238251e-07
32,32.0,21842242.999994107,140.57143446483056,51.285714285714285,565.1428571428571,1.9645354066734191e-07,-21.285714285714285,1.9645354066734191e-07
33,33.0,21842242.99999678,140.57143179186085,50.35714285714286,566.0714285714286,1.1105323714018517e-07,-21.35714285714286,1.1105323714018517e-07
34,34.0,21842242.999998305,140.57143026635663,48.5,567.9285714285714,6.277728813779019e-08,-21.5,6.277728813779019e-08
35,35.0,21842242.999999147,140.57142942309605,45.714285714285715,570.7142857142857,3.5487373764209194e-08,-21.714285714285715,3.5487373764209194e-08
