,Time,Estimated_Susceptible,Estimated_Exposed,Estimated_Infected,Estimated_Resistant,est_beta,err
69,69,58432197.67,0.329643876,1191.357143,66610.64286,0.00025723,91.64285714
70,70,58432197.78,0.223250399,1051.142857,66750.85714,0.000197447,80.85714286
71,71,58432197.85,0.1494132,916.5,66885.5,0.000151557,70.5
72,72,58432196.9,0.096908692,774.4285714,67028.57143,0.000116332,59.57142857
73,73,58432196.94,0.057795723,601.7142857,67201.28571,8.93E-05,46.28571429
74,74,58432196.96,0.039502071,535.7857143,67267.21429,6.85E-05,41.21428571
75,75,58432196.97,0.027220535,481,67322,5.26E-05,37
76,76,58432196.98,0.018070383,416,67387,4.04E-05,32
77,77,58432196.99,0.012415261,372.3571429,67430.64286,3.10E-05,28.64285714
78,78,58432196.99,0.008341431,325.9285714,67477.07143,2.38E-05,25.07142857
79,79,58432196.99,0.005837208,297.1428571,67505.85714,1.83E-05,22.85714286
80,80,58432197,0.004242476,281.3571429,67521.64286,1.40E-05,21.64285714
81,81,58432197,0.002622335,226.5714286,67576.42857,1.08E-05,17.42857143
