,Time,Estimated_Susceptible,Estimated_Exposed,Estimated_Infected,Estimated_Resistant,est_beta,err,est_beta
0,0.0,21841625.0,164.0,12.0,1199.0,0.000690530161269571,0.0,0.000690530161269571
1,1.0,21841624.977240127,140.59418844578374,33.642857142857146,1200.7857142857142,0.002069209741989246,-22.642857142857146,0.002069209741989246
2,2.0,21841620.922107928,140.6493206438964,35.5,1202.9285714285713,0.00599207617601219,-22.5,0.00599207617601219
3,3.0,21841620.81112172,140.76030685233945,34.57142857142858,1203.857142857143,0.015740850499511322,-22.571428571428577,0.015740850499511322
4,4.0,21841619.61222556,140.959203011715,34.57142857142858,1204.857142857143,0.0323165783916838,-22.571428571428577,0.0323165783916838
5,5.0,21841619.505855966,141.0655726046247,34.57142857142858,1204.857142857143,0.0411812711889132,-22.571428571428577,0.0411812711889132
6,6.0,21841618.650962446,140.92046612517706,34.57142857142858,1205.857142857143,0.02908830188873284,-22.571428571428577,0.02908830188873284
7,7.0,21841618.85358489,140.7178436819087,33.642857142857146,1206.7857142857142,0.013311306182007657,-22.642857142857146,0.013311306182007657
8,8.0,21841617.950645328,140.6207832451902,32.714285714285715,1208.7142857142858,0.004935779661449152,-22.714285714285715,0.004935779661449152
9,9.0,21841617.983116835,140.58831173749223,32.714285714285715,1208.7142857142858,0.0016884234324046397,-22.714285714285715,0.0016884234324046397
10,10.0,21841616.993822157,140.57760641232747,33.642857142857146,1208.7857142857142,0.0005616574615096874,-22.642857142857146,0.0005616574615096874
11,11.0,21841614.997593854,140.5738347163427,35.5,1208.9285714285713,0.00018509980694888083,-22.5,0.00018509980694888083
12,12.0,21841613.99920947,140.57221909985998,35.5,1209.9285714285713,6.0813738140650133e-05,-22.5,6.0813738140650133e-05
13,13.0,21841612.999760497,140.57166807447967,34.57142857142858,1211.857142857143,1.995985501371087e-05,-22.571428571428577,1.995985501371087e-05
14,14.0,21841612.99992142,140.57150715328382,34.57142857142858,1211.857142857143,6.548903781771411e-06,-22.571428571428577,6.548903781771411e-06
15,15.0,21841610.999969922,140.57145864831364,36.42857142857143,1212.0,2.1484855553729364e-06,-22.42857142857143,2.1484855553729364e-06
16,16.0,21841609.999989428,140.5714391431166,37.35714285714286,1212.0714285714287,7.048240527294627e-07,-22.35714285714286,7.048240527294627e-07
17,17.0,21841604.999995608,140.5714329643128,41.07142857142858,1213.357142857143,2.3121919937022996e-07,-22.071428571428577,2.3121919937022996e-07
18,18.0,21841599.99999818,140.57143039175304,45.714285714285715,1213.7142857142858,7.585171353879824e-08,-21.714285714285715,7.585171353879824e-08
19,19.0,21841594.999999277,140.57142929299516,50.35714285714286,1214.0714285714287,2.4883206884557517e-08,-21.35714285714286,2.4883206884557517e-08
20,20.0,21841581.999999665,140.5714289060878,61.5,1215.9285714285713,8.162949776629323e-09,-20.5,8.162949776629323e-09
21,21.0,21841571.999999862,140.5714287079905,70.78571428571429,1216.642857142857,2.677859823289333e-09,-19.785714285714292,2.677859823289333e-09
22,22.0,21841568.999999955,140.5714286171062,71.71428571428572,1218.7142857142858,8.784732369280966e-10,-19.714285714285722,8.784732369280966e-10
23,23.0,21841561.999999985,140.5714285875658,75.42857142857143,1222.0,2.8818357480441054e-10,-19.42857142857143,2.8818357480441054e-10
24,24.0,21841553.999999993,140.57142857747866,82.85714285714286,1222.5714285714287,9.453876213530431e-11,-18.85714285714286,9.453876213530431e-11
25,25.0,21841537.999999996,140.5714285739095,97.71428571428572,1223.7142857142858,3.10134869347075e-11,-17.714285714285722,3.10134869347075e-11
26,26.0,21841538.0,140.57142857224244,97.71428571428572,1223.7142857142858,1.0173989479315873e-11,-17.714285714285722,1.0173989479315873e-11
27,27.0,21841538.0,140.57142857169558,97.71428571428572,1223.7142857142858,3.3375821985318142e-12,-17.714285714285722,3.3375821985318142e-12
28,28.0,21841538.0,140.57142857151618,97.71428571428572,1223.7142857142858,1.094895463965619e-12,-17.714285714285722,1.094895463965619e-12
29,29.0,21841538.0,140.57142857145732,97.71428571428572,1223.7142857142858,3.591809896151645e-13,-17.714285714285722,3.591809896151645e-13
30,30.0,21841538.0,140.57142857143802,97.71428571428572,1223.7142857142858,1.178294983823293e-13,-17.714285714285722,1.178294983823293e-13
31,31.0,21841538.0,140.57142857143168,97.71428571428572,1223.7142857142858,3.865402426748551e-14,-17.714285714285722,3.865402426748551e-14
32,32.0,21841538.0,140.5714285714296,97.71428571428572,1223.7142857142858,1.2680471465831809e-14,-17.714285714285722,1.2680471465831809e-14
33,33.0,21841481.0,140.57142857142904,123.71428571428571,1254.7142857142858,4.159834833316324e-15,-15.714285714285708,4.159834833316324e-15
34,34.0,21841479.0,140.57142857142873,122.78571428571428,1257.642857142857,1.3646358407964393e-15,-15.785714285714278,1.3646358407964393e-15
35,35.0,21841478.0,140.57142857142864,120.92857142857142,1260.5,4.476694514578949e-16,-15.928571428571416,4.476694514578949e-16
36,36.0,21841477.0,140.5714285714286,120.0,1262.4285714285713,1.4685818133843485e-16,-16.0,1.4685818133843485e-16
37,37.0,21841473.0,140.57142857142858,121.85714285714285,1264.5714285714287,4.8176897833425e-17,-15.857142857142847,4.8176897833425e-17
38,38.0,21841472.0,140.57142857142858,119.07142857142857,1268.357142857143,1.580445477193747e-17,-16.07142857142857,1.580445477193747e-17
39,39.0,21841471.0,140.57142857142858,112.57142857142857,1275.857142857143,5.184659076677197e-18,-16.57142857142857,5.184659076677197e-18
40,40.0,21841471.0,140.57142857142858,107.92857142857143,1280.5,1.7008299323998723e-18,-16.92857142857143,1.7008299323998723e-18
41,41.0,21841471.0,140.57142857142858,96.78571428571429,1291.642857142857,5.57958086764181e-19,-17.785714285714292,5.57958086764181e-19
42,42.0,21841471.0,140.57142857142858,88.42857142857143,1300.0,1.8303842180521632e-19,-18.42857142857143,1.8303842180521632e-19
43,43.0,21841469.0,140.57142857142858,79.14285714285714,1311.2857142857142,6.004584331995575e-20,-19.14285714285714,6.004584331995575e-20
44,44.0,21841469.0,140.57142857142858,67.07142857142857,1323.357142857143,1.9698068112942627e-20,-20.07142857142857,1.9698068112942627e-20
45,45.0,21841468.0,140.57142857142858,59.642857142857146,1331.7857142857142,6.4619608274062016e-21,-20.642857142857146,6.4619608274062016e-21
46,46.0,21841468.0,140.57142857142858,53.142857142857146,1338.2857142857142,2.1198493931237914e-21,-21.142857142857146,2.1198493931237914e-21
47,47.0,21841468.0,140.57142857142858,46.642857142857146,1344.7857142857142,6.95417624704339e-22,-21.642857142857146,6.95417624704339e-22
48,48.0,21841468.0,140.57142857142858,44.785714285714285,1346.642857142857,2.281320900994707e-22,-21.785714285714285,2.281320900994707e-22
49,49.0,21841464.0,140.57142857142858,46.642857142857146,1348.7857142857142,7.483884314160133e-23,-21.642857142857146,7.483884314160133e-23
50,50.0,21841458.0,140.57142857142858,49.42857142857143,1352.0,2.4550918901111686e-23,-21.42857142857143,2.4550918901111686e-23
51,51.0,21841449.0,140.57142857142858,55.92857142857143,1354.5,8.053940889338898e-24,-20.92857142857143,8.053940889338898e-24
52,52.0,21841437.0,140.57142857142858,65.21428571428572,1357.2142857142858,2.6420992269266083e-24,-20.214285714285722,2.6420992269266083e-24
53,53.0,21841423.0,140.57142857142858,75.42857142857143,1361.0,8.667419367537892e-25,-19.42857142857143,8.667419367537892e-25
54,54.0,21841414.0,140.57142857142858,83.78571428571429,1361.642857142857,2.8433511401522493e-25,-18.785714285714292,2.8433511401522493e-25
55,55.0,21841404.0,140.57142857142858,92.14285714285714,1363.2857142857142,9.327627247949422e-26,-18.14285714285714,9.327627247949422e-26
56,56.0,21841399.0,140.57142857142858,93.07142857142857,1367.357142857143,3.0599326565072e-26,-18.07142857142857,3.0599326565072e-26
57,57.0,21841389.0,140.57142857142858,98.64285714285714,1371.7857142857142,1.00381239660039e-26,-17.64285714285714,1.00381239660039e-26
58,58.0,21841369.0,140.57142857142858,117.21428571428572,1373.2142857142858,3.293011450516044e-27,-16.214285714285722,3.293011450516044e-27
59,59.0,21841357.0,140.57142857142858,124.64285714285712,1377.7857142857142,1.080274008365994e-27,-15.642857142857125,1.080274008365994e-27
60,60.0,21841352.0,140.57142857142858,128.35714285714283,1379.0714285714287,3.543844139892844e-28,-15.357142857142833,3.543844139892844e-28
61,61.0,21841341.0,140.57142857142858,135.78571428571428,1382.642857142857,1.1625597941441781e-28,-14.785714285714278,1.1625597941441781e-28
62,62.0,21841332.0,140.57142857142858,139.5,1387.9285714285713,3.8137830604520616e-29,-14.5,3.8137830604520616e-29
63,63.0,21841323.0,140.57142857142858,143.2142857142857,1393.2142857142858,1.2511133883568113e-29,-14.214285714285694,1.2511133883568113e-29
64,64.0,21841310.0,140.57142857142858,151.57142857142856,1397.857142857143,4.104283557072885e-30,-13.571428571428555,4.104283557072885e-30
65,65.0,21841304.0,140.57142857142858,153.42857142857142,1402.0,1.3464122175994542e-30,-13.428571428571416,1.3464122175994542e-30
66,66.0,21841282.0,140.57142857142858,169.2142857142857,1408.2142857142858,4.416911830024694e-31,-12.214285714285694,4.416911830024694e-31
67,67.0,21841271.0,140.57142857142858,173.85714285714283,1414.5714285714287,1.4489700746325136e-31,-11.857142857142833,1.4489700746325136e-31
68,68.0,21841253.0,140.57142857142858,180.35714285714283,1426.0714285714287,4.753353378957564e-32,-11.357142857142833,4.753353378957564e-32
69,69.0,21841233.0,140.57142857142858,190.57142857142856,1435.857142857143,1.5593398884361347e-32,-10.571428571428555,1.5593398884361347e-32
70,70.0,21841227.0,140.57142857142858,188.7142857142857,1443.7142857142858,5.115422090080819e-33,-10.714285714285694,5.115422090080819e-33
71,71.0,21841209.0,140.57142857142858,198.0,1452.4285714285713,1.6781167052636803e-33,-10.0,1.6781167052636803e-33
72,72.0,21841200.0,140.57142857142858,201.7142857142857,1457.7142857142858,5.505070015523466e-34,-9.714285714285694,5.505070015523466e-34
73,73.0,21841185.0,140.57142857142858,200.78571428571428,1473.642857142857,1.8059408967657962e-34,-9.785714285714278,1.8059408967657962e-34
74,74.0,21841169.0,140.57142857142858,204.5,1485.9285714285713,5.924397897600726e-35,-9.5,5.924397897600726e-35
75,75.0,21841161.0,140.57142857142858,207.28571428571428,1491.142857142857,1.943501612480962e-35,-9.285714285714278,1.943501612480962e-35
76,76.0,21841147.0,140.57142857142858,211.0,1501.4285714285713,6.375666494726488e-36,-9.0,6.375666494726488e-36
77,77.0,21841136.0,140.57142857142858,204.5,1518.9285714285713,2.0915404953066964e-36,-9.5,2.0915404953066964e-36
78,78.0,21841121.0,140.57142857142858,204.5,1533.9285714285713,6.861308770033847e-37,-9.5,6.861308770033847e-37
79,79.0,21841113.0,140.57142857142858,197.07142857142856,1549.357142857143,2.250855679982428e-37,-10.071428571428555,2.250855679982428e-37
80,80.0,21841103.0,140.57142857142858,198.92857142857142,1557.5,7.383943008418445e-38,-9.928571428571416,7.383943008418445e-38
81,81.0,21841098.0,140.57142857142858,196.14285714285714,1565.2857142857142,2.422306096141947e-38,-10.142857142857139,2.422306096141947e-38
82,82.0,21841094.0,140.57142857142858,177.57142857142856,1587.857142857143,7.946386932722554e-39,-11.571428571428555,7.946386932722554e-39
83,83.0,21841089.0,140.57142857142858,154.35714285714283,1616.0714285714287,2.606816099134462e-39,-13.357142857142833,2.606816099134462e-39
84,84.0,21841081.0,140.57142857142858,151.57142857142856,1626.857142857143,8.551672895166172e-40,-13.571428571428555,8.551672895166172e-40
85,85.0,21841079.0,140.57142857142858,142.28571428571428,1638.142857142857,2.8053804535809574e-40,-14.285714285714278,2.8053804535809574e-40
86,86.0,21841077.0,140.57142857142858,132.07142857142856,1650.357142857143,9.203064225927888e-41,-15.071428571428555,9.203064225927888e-41
87,87.0,21841074.0,140.57142857142858,120.0,1665.4285714285713,3.019069696534104e-41,-16.0,3.019069696534104e-41
88,88.0,21841071.0,140.57142857142858,108.85714285714286,1679.5714285714287,9.90407282701707e-42,-16.85714285714286,9.90407282701707e-42
89,89.0,21841069.0,140.57142857142858,100.5,1689.9285714285713,3.2490359091565885e-42,-17.5,3.2490359091565885e-42
90,90.0,21841067.0,140.57142857142858,91.21428571428572,1701.2142857142858,1.0658478106292539e-42,-18.214285714285722,1.0658478106292539e-42
91,91.0,21841059.0,140.57142857142858,84.71428571428572,1715.7142857142858,3.4965189280351493e-43,-18.714285714285722,3.4965189280351493e-43
92,92.0,21841059.0,140.57142857142858,76.35714285714286,1724.0714285714287,1.1470347353709257e-43,-19.35714285714286,1.1470347353709257e-43
93,93.0,21841055.0,140.57142857142858,73.57142857142857,1730.857142857143,3.762853029618215e-44,-19.57142857142857,3.762853029618215e-44
